review_id,review_text,topic_text,v2_topic_id,topic_model_label,v2_business_topic,baseline_topic_id,baseline_model_topic,baseline_display_topic,baseline_business_topic,business_topic_changed
R000116,"The price feels expensive for what you get. My main use is streaming at home. After 82 days of use, this is my experience.",The price feels expensive for what you get,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000117,"Charging is quick and the battery holds up all day. I use it for sketching. After 55 days of use, this is my experience.",Charging is quick and the battery holds up all day,-1,Unassigned / mixed,Unassigned / mixed,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,False
R000118,"Customer service made the replacement process straightforward. I bought it for university classes. After 34 days of use, this is my experience.",Customer service made the replacement process straightforward,11,Customer / Replacement Process / Process Straightforward,Customer Service,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000119,"My experience with software is mixed. It meets some expectations but could improve. I bought it for university classes. After 30 days of use, this is my experience.",My experience with software is mixed,-1,Unassigned / mixed,Unassigned / mixed,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000120,"The interface is clean and the settings are easy to find. My main use is streaming at home. After 52 days of use, this is my experience.",The interface is clean and the settings are easy to find,6,Interface Clean / Settings Easy / Clean,Usability & Interface,2,Clean / Settings Easy / Interface Clean,Interface & settings,Usability & Interface,False
R000121,"I would buy it again because the features justify the cost. I have owned it for a month. After 83 days of use, this is my experience.",I would buy it again because the features justify the cost,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000122,"Screen glare makes outdoor use frustrating. I take it on the train. After 84 days of use, this is my experience.",Screen glare makes outdoor use frustrating,9,Makes / Makes Reading / Display Brightness,Display,8,Makes / Reading Outside / Display Brightness,Outdoor screen visibility,Display,False
R000123,"The keyboard accessory pairs easily and feels comfortable. I use it for work notes. After 6 days of use, this is my experience.",The keyboard accessory pairs easily and feels comfortable,2,Easily / Pairs / Accessory Pairs,Accessories,10,Easily Feels / Keyboard Accessory / Feels Comfortable,Keyboard accessories,Accessories,False
R000124,"Charging is quick and the battery holds up all day. I use it for sketching. After 87 days of use, this is my experience.",Charging is quick and the battery holds up all day,-1,Unassigned / mixed,Unassigned / mixed,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,False
R000125,"The interface is clean and the settings are easy to find. I have owned it for a month. After 37 days of use, this is my experience.",The interface is clean and the settings are easy to find,6,Interface Clean / Settings Easy / Clean,Usability & Interface,2,Clean / Settings Easy / Interface Clean,Interface & settings,Usability & Interface,False
R000126,"I would buy it again because the features justify the cost. My main use is streaming at home. After 89 days of use, this is my experience.",I would buy it again because the features justify the cost,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000128,"The latest software update causes crashes and random restarts. I bought it for university classes. After 74 days of use, this is my experience.",The latest software update causes crashes and random restarts,7,Random / Random Restarts / Software Update,Software & Updates,3,Latest Software / Software Update / Random,Software update stability,Software & Updates,False
R000129,"Poor value compared with my older device; I requested a refund. I bought it for university classes. After 78 days of use, this is my experience.",Poor value compared with my older device; I requested a refund,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000130,"The keyboard accessory pairs easily and feels comfortable. I use it for work notes. After 18 days of use, this is my experience.",The keyboard accessory pairs easily and feels comfortable,2,Easily / Pairs / Accessory Pairs,Accessories,10,Easily Feels / Keyboard Accessory / Feels Comfortable,Keyboard accessories,Accessories,False
R000131,"The latest software update causes crashes and random restarts. I have owned it for a month. After 69 days of use, this is my experience.",The latest software update causes crashes and random restarts,7,Random / Random Restarts / Software Update,Software & Updates,3,Latest Software / Software Update / Random,Software update stability,Software & Updates,False
R000132,"The metal body feels sturdy and well assembled. I compared it with my previous tablet. After 66 days of use, this is my experience.",The metal body feels sturdy and well assembled,3,Metal / Sturdy / Metal Body,Build Quality,1,Quality / Build Quality / Build,Build quality,Build Quality,False
R000133,"The interface is clean and the settings are easy to find. I compared it with my previous tablet. After 84 days of use, this is my experience.",The interface is clean and the settings are easy to find,6,Interface Clean / Settings Easy / Clean,Usability & Interface,2,Clean / Settings Easy / Interface Clean,Interface & settings,Usability & Interface,False
R000134,"My experience with customer support is mixed. It meets some expectations but could improve. My main use is streaming at home. After 12 days of use, this is my experience.",My experience with customer support is mixed,11,Customer / Replacement Process / Process Straightforward,Customer Service,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000135,"Poor value compared with my older device; I requested a refund. I have owned it for a month. After 78 days of use, this is my experience.",Poor value compared with my older device; I requested a refund,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000136,"The latest software update causes crashes and random restarts. I have owned it for a month. After 59 days of use, this is my experience.",The latest software update causes crashes and random restarts,7,Random / Random Restarts / Software Update,Software & Updates,3,Latest Software / Software Update / Random,Software update stability,Software & Updates,False
R000137,"Customer service made the replacement process straightforward. I have owned it for a month. After 42 days of use, this is my experience.",Customer service made the replacement process straightforward,11,Customer / Replacement Process / Process Straightforward,Customer Service,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000138,"My experience with software is mixed. It meets some expectations but could improve. My main use is streaming at home. After 57 days of use, this is my experience.",My experience with software is mixed,-1,Unassigned / mixed,Unassigned / mixed,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000139,"The interface is clean and the settings are easy to find. My main use is streaming at home. After 54 days of use, this is my experience.",The interface is clean and the settings are easy to find,6,Interface Clean / Settings Easy / Clean,Usability & Interface,2,Clean / Settings Easy / Interface Clean,Interface & settings,Usability & Interface,False
R000140,"The keyboard accessory pairs easily and feels comfortable. This was a gift for my family. After 78 days of use, this is my experience.",The keyboard accessory pairs easily and feels comfortable,2,Easily / Pairs / Accessory Pairs,Accessories,10,Easily Feels / Keyboard Accessory / Feels Comfortable,Keyboard accessories,Accessories,False
R000141,"The latest software update causes crashes and random restarts. My main use is streaming at home. After 46 days of use, this is my experience.",The latest software update causes crashes and random restarts,7,Random / Random Restarts / Software Update,Software & Updates,3,Latest Software / Software Update / Random,Software update stability,Software & Updates,False
R000142,"The software is intuitive and updates install smoothly. This was a gift for my family. After 5 days of use, this is my experience.",The software is intuitive and updates install smoothly,4,Software Intuitive / Intuitive Updates / Updates,Software & Updates,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000143,"The software is intuitive and updates install smoothly. I bought it for university classes. After 74 days of use, this is my experience.",The software is intuitive and updates install smoothly,4,Software Intuitive / Intuitive Updates / Updates,Software & Updates,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000144,"My experience with software is mixed. It meets some expectations but could improve. I have owned it for a month. After 55 days of use, this is my experience.",My experience with software is mixed,-1,Unassigned / mixed,Unassigned / mixed,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000145,"For the price this tablet is excellent value. I use it for work notes. After 21 days of use, this is my experience.",For the price this tablet is excellent value,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000146,"The battery dies before lunch and I want a replacement. I compared it with my previous tablet. After 79 days of use, this is my experience.",The battery dies before lunch and I want a replacement,12,Battery / Lasts / Lasts Commute,Battery Life,9,Battery / Commute Evening / Evening,Battery life,Battery Life,False
R000147,"For the price this tablet is excellent value. This was a gift for my family. After 88 days of use, this is my experience.",For the price this tablet is excellent value,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000148,"The display has uneven backlighting and washed out colors. I use it for work notes. After 28 days of use, this is my experience.",The display has uneven backlighting and washed out colors,5,Colors / Natural / Look Natural,Display,4,Colors / Crisp / Screen Crisp,Screen clarity & color,Display,False
R000149,"My experience with software is mixed. It meets some expectations but could improve. I have owned it for a month. After 24 days of use, this is my experience.",My experience with software is mixed,-1,Unassigned / mixed,Unassigned / mixed,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000150,"Build quality disappointed me; the hinge cracked in normal use. My main use is streaming at home. After 52 days of use, this is my experience.",Build quality disappointed me; the hinge cracked in normal use,-1,Unassigned / mixed,Unassigned / mixed,1,Quality / Build Quality / Build,Build quality,Build Quality,True
R000151,"Build quality disappointed me; the hinge cracked in normal use. I have owned it for a month. After 83 days of use, this is my experience.",Build quality disappointed me; the hinge cracked in normal use,-1,Unassigned / mixed,Unassigned / mixed,1,Quality / Build Quality / Build,Build quality,Build Quality,True
R000152,"The processor handles games without any stutter. I use it for sketching. After 13 days of use, this is my experience.",The processor handles games without any stutter,1,Games / Games Stutter / Stutter,Software & Performance,7,Games Stutter / Stutter / Games,Gaming performance,Software & Performance,False
R000153,"Display brightness makes reading outside comfortable. This was a gift for my family. After 45 days of use, this is my experience.",Display brightness makes reading outside comfortable,9,Makes / Makes Reading / Display Brightness,Display,8,Makes / Reading Outside / Display Brightness,Outdoor screen visibility,Display,False
R000154,"The battery lasts through my commute and evening reading. I use it for sketching. After 46 days of use, this is my experience.",The battery lasts through my commute and evening reading,12,Battery / Lasts / Lasts Commute,Battery Life,9,Battery / Commute Evening / Evening,Battery life,Battery Life,False
R000155,"The price feels expensive for what you get. I bought it for university classes. After 82 days of use, this is my experience.",The price feels expensive for what you get,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000156,"The interface is clean and the settings are easy to find. I use it for sketching. After 21 days of use, this is my experience.",The interface is clean and the settings are easy to find,6,Interface Clean / Settings Easy / Clean,Usability & Interface,2,Clean / Settings Easy / Interface Clean,Interface & settings,Usability & Interface,False
R000157,"The metal body feels sturdy and well assembled. I use it for sketching. After 66 days of use, this is my experience.",The metal body feels sturdy and well assembled,3,Metal / Sturdy / Metal Body,Build Quality,1,Quality / Build Quality / Build,Build quality,Build Quality,False
R000158,"The casing creaks and the charging port feels loose. My main use is streaming at home. After 80 days of use, this is my experience.",The casing creaks and the charging port feels loose,1,Games / Games Stutter / Stutter,Software & Performance,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,True
R000159,"The interface is clean and the settings are easy to find. I take it on the train. After 43 days of use, this is my experience.",The interface is clean and the settings are easy to find,6,Interface Clean / Settings Easy / Clean,Usability & Interface,2,Clean / Settings Easy / Interface Clean,Interface & settings,Usability & Interface,False
R000160,"The included stylus is accurate and the case fits perfectly. My main use is streaming at home. After 66 days of use, this is my experience.",The included stylus is accurate and the case fits perfectly,1,Games / Games Stutter / Stutter,Software & Performance,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,True
R000161,"The software is intuitive and updates install smoothly. I use it for sketching. After 49 days of use, this is my experience.",The software is intuitive and updates install smoothly,4,Software Intuitive / Intuitive Updates / Updates,Software & Updates,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000162,"My experience with software is mixed. It meets some expectations but could improve. My main use is streaming at home. After 44 days of use, this is my experience.",My experience with software is mixed,-1,Unassigned / mixed,Unassigned / mixed,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000163,"The latest software update causes crashes and random restarts. I use it for sketching. After 12 days of use, this is my experience.",The latest software update causes crashes and random restarts,7,Random / Random Restarts / Software Update,Software & Updates,3,Latest Software / Software Update / Random,Software update stability,Software & Updates,False
R000164,"The keyboard accessory pairs easily and feels comfortable. This was a gift for my family. After 73 days of use, this is my experience.",The keyboard accessory pairs easily and feels comfortable,2,Easily / Pairs / Accessory Pairs,Accessories,10,Easily Feels / Keyboard Accessory / Feels Comfortable,Keyboard accessories,Accessories,False
R000165,"Support replied promptly and resolved my warranty question. I have owned it for a month. After 67 days of use, this is my experience.",Support replied promptly and resolved my warranty question,3,Metal / Sturdy / Metal Body,Build Quality,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000166,"Display brightness makes reading outside comfortable. I take it on the train. After 30 days of use, this is my experience.",Display brightness makes reading outside comfortable,9,Makes / Makes Reading / Display Brightness,Display,8,Makes / Reading Outside / Display Brightness,Outdoor screen visibility,Display,False
R000167,"The screen is crisp and colors look natural. I use it for sketching. After 81 days of use, this is my experience.",The screen is crisp and colors look natural,5,Colors / Natural / Look Natural,Display,4,Colors / Crisp / Screen Crisp,Screen clarity & color,Display,False
R000168,"The price feels expensive for what you get. I compared it with my previous tablet. After 7 days of use, this is my experience.",The price feels expensive for what you get,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000169,"The interface is clean and the settings are easy to find. I take it on the train. After 70 days of use, this is my experience.",The interface is clean and the settings are easy to find,6,Interface Clean / Settings Easy / Clean,Usability & Interface,2,Clean / Settings Easy / Interface Clean,Interface & settings,Usability & Interface,False
R000170,"The accessory case does not fit securely and the charger cable is short. I compared it with my previous tablet. After 38 days of use, this is my experience.",The accessory case does not fit securely and the charger cable is short,1,Games / Games Stutter / Stutter,Software & Performance,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,True
R000171,"Performance slows down with a few apps open. This was a gift for my family. After 8 days of use, this is my experience.",Performance slows down with a few apps open,10,Open / Apps Open / Apps,Software & Performance,6,Apps / Apps Open / Open,App speed & multitasking,Software & Performance,False
R000172,"The latest software update causes crashes and random restarts. This was a gift for my family. After 12 days of use, this is my experience.",The latest software update causes crashes and random restarts,7,Random / Random Restarts / Software Update,Software & Updates,3,Latest Software / Software Update / Random,Software update stability,Software & Updates,False
R000173,"The keyboard disconnects and the stylus misses strokes. I compared it with my previous tablet. After 46 days of use, this is my experience.",The keyboard disconnects and the stylus misses strokes,1,Games / Games Stutter / Stutter,Software & Performance,7,Games Stutter / Stutter / Games,Gaming performance,Software & Performance,False
R000174,"Apps open quickly and multitasking feels smooth. I use it for sketching. After 30 days of use, this is my experience.",Apps open quickly and multitasking feels smooth,10,Open / Apps Open / Apps,Software & Performance,6,Apps / Apps Open / Open,App speed & multitasking,Software & Performance,False
R000175,"Support replied promptly and resolved my warranty question. I use it for work notes. After 38 days of use, this is my experience.",Support replied promptly and resolved my warranty question,3,Metal / Sturdy / Metal Body,Build Quality,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000176,"The software is intuitive and updates install smoothly. I use it for work notes. After 34 days of use, this is my experience.",The software is intuitive and updates install smoothly,4,Software Intuitive / Intuitive Updates / Updates,Software & Updates,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000177,"The software is intuitive and updates install smoothly. This was a gift for my family. After 32 days of use, this is my experience.",The software is intuitive and updates install smoothly,4,Software Intuitive / Intuitive Updates / Updates,Software & Updates,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000178,"The screen is crisp and colors look natural. My main use is streaming at home. After 65 days of use, this is my experience.",The screen is crisp and colors look natural,5,Colors / Natural / Look Natural,Display,4,Colors / Crisp / Screen Crisp,Screen clarity & color,Display,False
R000179,"The software is intuitive and updates install smoothly. I use it for sketching. After 32 days of use, this is my experience.",The software is intuitive and updates install smoothly,4,Software Intuitive / Intuitive Updates / Updates,Software & Updates,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000180,"The software is intuitive and updates install smoothly. I have owned it for a month. After 62 days of use, this is my experience.",The software is intuitive and updates install smoothly,4,Software Intuitive / Intuitive Updates / Updates,Software & Updates,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000181,"My experience with accessories is mixed. It meets some expectations but could improve. I use it for sketching. After 32 days of use, this is my experience.",My experience with accessories is mixed,5,Colors / Natural / Look Natural,Display,10,Easily Feels / Keyboard Accessory / Feels Comfortable,Keyboard accessories,Accessories,True
R000182,"The interface is clean and the settings are easy to find. I bought it for university classes. After 7 days of use, this is my experience.",The interface is clean and the settings are easy to find,6,Interface Clean / Settings Easy / Clean,Usability & Interface,2,Clean / Settings Easy / Interface Clean,Interface & settings,Usability & Interface,False
R000183,"Support keeps passing my refund request between agents. I compared it with my previous tablet. After 82 days of use, this is my experience.",Support keeps passing my refund request between agents,3,Metal / Sturdy / Metal Body,Build Quality,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000184,"Charging is quick and the battery holds up all day. I take it on the train. After 7 days of use, this is my experience.",Charging is quick and the battery holds up all day,-1,Unassigned / mixed,Unassigned / mixed,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,False
R000185,"The included stylus is accurate and the case fits perfectly. This was a gift for my family. After 6 days of use, this is my experience.",The included stylus is accurate and the case fits perfectly,1,Games / Games Stutter / Stutter,Software & Performance,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,True
R000186,"Support keeps passing my refund request between agents. My main use is streaming at home. After 49 days of use, this is my experience.",Support keeps passing my refund request between agents,3,Metal / Sturdy / Metal Body,Build Quality,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000187,"The metal body feels sturdy and well assembled. I compared it with my previous tablet. After 90 days of use, this is my experience.",The metal body feels sturdy and well assembled,3,Metal / Sturdy / Metal Body,Build Quality,1,Quality / Build Quality / Build,Build quality,Build Quality,False
R000188,"Screen glare makes outdoor use frustrating. I bought it for university classes. After 71 days of use, this is my experience.",Screen glare makes outdoor use frustrating,9,Makes / Makes Reading / Display Brightness,Display,8,Makes / Reading Outside / Display Brightness,Outdoor screen visibility,Display,False
R000189,"Charging is quick and the battery holds up all day. I bought it for university classes. After 90 days of use, this is my experience.",Charging is quick and the battery holds up all day,-1,Unassigned / mixed,Unassigned / mixed,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,False
R000190,"Charging is quick and the battery holds up all day. This was a gift for my family. After 83 days of use, this is my experience.",Charging is quick and the battery holds up all day,-1,Unassigned / mixed,Unassigned / mixed,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,False
R000191,"The latest software update causes crashes and random restarts. I use it for work notes. After 20 days of use, this is my experience.",The latest software update causes crashes and random restarts,7,Random / Random Restarts / Software Update,Software & Updates,3,Latest Software / Software Update / Random,Software update stability,Software & Updates,False
R000192,"Charging is quick and the battery holds up all day. I use it for work notes. After 79 days of use, this is my experience.",Charging is quick and the battery holds up all day,-1,Unassigned / mixed,Unassigned / mixed,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,False
R000193,"The keyboard accessory pairs easily and feels comfortable. I use it for sketching. After 52 days of use, this is my experience.",The keyboard accessory pairs easily and feels comfortable,2,Easily / Pairs / Accessory Pairs,Accessories,10,Easily Feels / Keyboard Accessory / Feels Comfortable,Keyboard accessories,Accessories,False
R000194,"Screen glare makes outdoor use frustrating. I have owned it for a month. After 73 days of use, this is my experience.",Screen glare makes outdoor use frustrating,9,Makes / Makes Reading / Display Brightness,Display,8,Makes / Reading Outside / Display Brightness,Outdoor screen visibility,Display,False
R000195,"Software notifications freeze and the app keeps losing my settings. I take it on the train. After 17 days of use, this is my experience.",Software notifications freeze and the app keeps losing my settings,8,Keeps Losing / App / Freeze,Software & Updates,5,Keeps Losing / Notifications / App Keeps,App freezes & lost settings,Software & Updates,False
R000196,"The metal body feels sturdy and well assembled. I use it for sketching. After 87 days of use, this is my experience.",The metal body feels sturdy and well assembled,3,Metal / Sturdy / Metal Body,Build Quality,1,Quality / Build Quality / Build,Build quality,Build Quality,False
R000197,"The latest software update causes crashes and random restarts. I bought it for university classes. After 48 days of use, this is my experience.",The latest software update causes crashes and random restarts,7,Random / Random Restarts / Software Update,Software & Updates,3,Latest Software / Software Update / Random,Software update stability,Software & Updates,False
R000198,"Support keeps passing my refund request between agents. I use it for sketching. After 61 days of use, this is my experience.",Support keeps passing my refund request between agents,3,Metal / Sturdy / Metal Body,Build Quality,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000199,"Charging is quick and the battery holds up all day. I have owned it for a month. After 54 days of use, this is my experience.",Charging is quick and the battery holds up all day,-1,Unassigned / mixed,Unassigned / mixed,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,False
R000200,"The interface is clean and the settings are easy to find. I bought it for university classes. After 72 days of use, this is my experience.",The interface is clean and the settings are easy to find,6,Interface Clean / Settings Easy / Clean,Usability & Interface,2,Clean / Settings Easy / Interface Clean,Interface & settings,Usability & Interface,False
R000201,"My experience with build quality is mixed. It meets some expectations but could improve. I bought it for university classes. After 40 days of use, this is my experience.",My experience with build quality is mixed,2,Easily / Pairs / Accessory Pairs,Accessories,1,Quality / Build Quality / Build,Build quality,Build Quality,True
R000202,"The processor handles games without any stutter. My main use is streaming at home. After 34 days of use, this is my experience.",The processor handles games without any stutter,1,Games / Games Stutter / Stutter,Software & Performance,7,Games Stutter / Stutter / Games,Gaming performance,Software & Performance,False
R000203,"The screen is crisp and colors look natural. I bought it for university classes. After 77 days of use, this is my experience.",The screen is crisp and colors look natural,5,Colors / Natural / Look Natural,Display,4,Colors / Crisp / Screen Crisp,Screen clarity & color,Display,False
R000204,"The software is intuitive and updates install smoothly. I use it for work notes. After 12 days of use, this is my experience.",The software is intuitive and updates install smoothly,4,Software Intuitive / Intuitive Updates / Updates,Software & Updates,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000205,"The display has uneven backlighting and washed out colors. I compared it with my previous tablet. After 82 days of use, this is my experience.",The display has uneven backlighting and washed out colors,5,Colors / Natural / Look Natural,Display,4,Colors / Crisp / Screen Crisp,Screen clarity & color,Display,False
R000206,"Build quality is solid and the buttons feel precise. I compared it with my previous tablet. After 11 days of use, this is my experience.",Build quality is solid and the buttons feel precise,2,Easily / Pairs / Accessory Pairs,Accessories,1,Quality / Build Quality / Build,Build quality,Build Quality,True
R000207,"The metal body feels sturdy and well assembled. I use it for sketching. After 42 days of use, this is my experience.",The metal body feels sturdy and well assembled,3,Metal / Sturdy / Metal Body,Build Quality,1,Quality / Build Quality / Build,Build quality,Build Quality,False
R000208,"My experience with software is mixed. It meets some expectations but could improve. I compared it with my previous tablet. After 17 days of use, this is my experience.",My experience with software is mixed,-1,Unassigned / mixed,Unassigned / mixed,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000209,"Screen glare makes outdoor use frustrating. I have owned it for a month. After 33 days of use, this is my experience.",Screen glare makes outdoor use frustrating,9,Makes / Makes Reading / Display Brightness,Display,8,Makes / Reading Outside / Display Brightness,Outdoor screen visibility,Display,False
R000210,"The keyboard accessory pairs easily and feels comfortable. I compared it with my previous tablet. After 67 days of use, this is my experience.",The keyboard accessory pairs easily and feels comfortable,2,Easily / Pairs / Accessory Pairs,Accessories,10,Easily Feels / Keyboard Accessory / Feels Comfortable,Keyboard accessories,Accessories,False
R000211,"Build quality disappointed me; the hinge cracked in normal use. I take it on the train. After 29 days of use, this is my experience.",Build quality disappointed me; the hinge cracked in normal use,-1,Unassigned / mixed,Unassigned / mixed,1,Quality / Build Quality / Build,Build quality,Build Quality,True
R000212,"Display brightness makes reading outside comfortable. This was a gift for my family. After 70 days of use, this is my experience.",Display brightness makes reading outside comfortable,9,Makes / Makes Reading / Display Brightness,Display,8,Makes / Reading Outside / Display Brightness,Outdoor screen visibility,Display,False
R000213,"Build quality is solid and the buttons feel precise. I use it for sketching. After 7 days of use, this is my experience.",Build quality is solid and the buttons feel precise,2,Easily / Pairs / Accessory Pairs,Accessories,1,Quality / Build Quality / Build,Build quality,Build Quality,True
R000214,"Software notifications freeze and the app keeps losing my settings. I compared it with my previous tablet. After 72 days of use, this is my experience.",Software notifications freeze and the app keeps losing my settings,8,Keeps Losing / App / Freeze,Software & Updates,5,Keeps Losing / Notifications / App Keeps,App freezes & lost settings,Software & Updates,False
R000215,"Software notifications freeze and the app keeps losing my settings. I use it for sketching. After 45 days of use, this is my experience.",Software notifications freeze and the app keeps losing my settings,8,Keeps Losing / App / Freeze,Software & Updates,5,Keeps Losing / Notifications / App Keeps,App freezes & lost settings,Software & Updates,False
R000216,"For the price this tablet is excellent value. I use it for work notes. After 19 days of use, this is my experience.",For the price this tablet is excellent value,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000217,"The latest software update causes crashes and random restarts. I use it for sketching. After 80 days of use, this is my experience.",The latest software update causes crashes and random restarts,7,Random / Random Restarts / Software Update,Software & Updates,3,Latest Software / Software Update / Random,Software update stability,Software & Updates,False
R000218,"The included stylus is accurate and the case fits perfectly. I compared it with my previous tablet. After 74 days of use, this is my experience.",The included stylus is accurate and the case fits perfectly,1,Games / Games Stutter / Stutter,Software & Performance,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,True
R000219,"The processor handles games without any stutter. I use it for work notes. After 78 days of use, this is my experience.",The processor handles games without any stutter,1,Games / Games Stutter / Stutter,Software & Performance,7,Games Stutter / Stutter / Games,Gaming performance,Software & Performance,False
R000220,"The software is intuitive and updates install smoothly. I compared it with my previous tablet. After 23 days of use, this is my experience.",The software is intuitive and updates install smoothly,4,Software Intuitive / Intuitive Updates / Updates,Software & Updates,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000221,"The screen is crisp and colors look natural. I use it for work notes. After 58 days of use, this is my experience.",The screen is crisp and colors look natural,5,Colors / Natural / Look Natural,Display,4,Colors / Crisp / Screen Crisp,Screen clarity & color,Display,False
R000222,"Build quality disappointed me; the hinge cracked in normal use. I use it for work notes. After 19 days of use, this is my experience.",Build quality disappointed me; the hinge cracked in normal use,10,Open / Apps Open / Apps,Software & Performance,1,Quality / Build Quality / Build,Build quality,Build Quality,True
R000223,"The keyboard accessory pairs easily and feels comfortable. I compared it with my previous tablet. After 70 days of use, this is my experience.",The keyboard accessory pairs easily and feels comfortable,2,Easily / Pairs / Accessory Pairs,Accessories,10,Easily Feels / Keyboard Accessory / Feels Comfortable,Keyboard accessories,Accessories,False
R000224,"The interface is clean and the settings are easy to find. I compared it with my previous tablet. After 26 days of use, this is my experience.",The interface is clean and the settings are easy to find,6,Interface Clean / Settings Easy / Clean,Usability & Interface,2,Clean / Settings Easy / Interface Clean,Interface & settings,Usability & Interface,False
R000225,"Display brightness makes reading outside comfortable. I take it on the train. After 90 days of use, this is my experience.",Display brightness makes reading outside comfortable,9,Makes / Makes Reading / Display Brightness,Display,8,Makes / Reading Outside / Display Brightness,Outdoor screen visibility,Display,False
R000226,"The processor handles games without any stutter. This was a gift for my family. After 17 days of use, this is my experience.",The processor handles games without any stutter,1,Games / Games Stutter / Stutter,Software & Performance,7,Games Stutter / Stutter / Games,Gaming performance,Software & Performance,False
R000227,"The included stylus is accurate and the case fits perfectly. My main use is streaming at home. After 46 days of use, this is my experience.",The included stylus is accurate and the case fits perfectly,1,Games / Games Stutter / Stutter,Software & Performance,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,True
R000228,"Software notifications freeze and the app keeps losing my settings. This was a gift for my family. After 19 days of use, this is my experience.",Software notifications freeze and the app keeps losing my settings,8,Keeps Losing / App / Freeze,Software & Updates,5,Keeps Losing / Notifications / App Keeps,App freezes & lost settings,Software & Updates,False
R000229,"The latest software update causes crashes and random restarts. I take it on the train. After 8 days of use, this is my experience.",The latest software update causes crashes and random restarts,7,Random / Random Restarts / Software Update,Software & Updates,3,Latest Software / Software Update / Random,Software update stability,Software & Updates,False
R000230,"The latest software update causes crashes and random restarts. I bought it for university classes. After 54 days of use, this is my experience.",The latest software update causes crashes and random restarts,7,Random / Random Restarts / Software Update,Software & Updates,3,Latest Software / Software Update / Random,Software update stability,Software & Updates,False
R000231,"For the price this tablet is excellent value. My main use is streaming at home. After 85 days of use, this is my experience.",For the price this tablet is excellent value,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
